time,time_ms,speed,acceleration,vehicle_ref,actorConfig_id,actorConfig_emissionClass,actorConfig_fuel,actorConfig_ref,actorConfig_vehicleClass,FuelRateH
6:06:00,21960000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:01,21961000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:02,21962000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:03,21963000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:04,21964000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:05,21965000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:06,21966000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:07,21967000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:08,21968000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:09,21969000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:10,21970000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:11,21971000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:12,21972000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:13,21973000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:14,21974000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:15,21975000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:16,21976000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:17,21977000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:18,21978000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:19,21979000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:20,21980000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:21,21981000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:22,21982000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:23,21983000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:24,21984000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:25,21985000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:26,21986000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:27,21987000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:28,21988000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:29,21989000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:30,21990000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:31,21991000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:32,21992000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:33,21993000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:34,21994000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:35,21995000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:36,21996000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:37,21997000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:38,21998000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:39,21999000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:40,22000000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:41,22001000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:42,22002000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:43,22003000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
6:06:44,22004000,0,0,Route10A_trip151970020_06:06:00,6,Euro4,Gasoline,Gillig_102,Passenger,3.1833713
