time,time_ms,speed,acceleration,vehicle_ref,actorConfig_id,actorConfig_emissionClass,actorConfig_fuel,actorConfig_ref,actorConfig_vehicleClass,FuelRate
06:16:00,22560000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:01,22561000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:02,22562000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:03,22563000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:04,22564000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:05,22565000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:06,22566000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:07,22567000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:08,22568000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:09,22569000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:10,22570000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:11,22571000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:12,22572000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:13,22573000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:14,22574000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:15,22575000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:16,22576000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:17,22577000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:18,22578000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:19,22579000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:20,22580000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:21,22581000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:22,22582000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:23,22583000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:24,22584000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:25,22585000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:26,22586000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:27,22587000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:28,22588000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:29,22589000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:30,22590000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:31,22591000,0.0,0.0,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.8375094
06:16:32,22592000,4.248,1.178,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,7.264369
06:16:33,22593000,7.128000000000001,0.799,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,4.153083
06:16:34,22594000,11.088000000000001,1.102,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,7.5314283
06:16:35,22595000,14.580000000000002,0.968,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,6.7133937
06:16:36,22596000,18.756000000000004,1.16,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,9.266389
06:16:37,22597000,22.248,0.977,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,7.957133
06:16:38,22598000,25.164,0.806,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,6.6815257
06:16:39,22599000,29.052000000000003,1.077,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,9.983167
06:16:40,22600000,30.744000000000003,0.47800000000000004,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,4.264628
06:16:41,22601000,30.060000000000002,-0.195,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,1.2826905
06:16:42,22602000,29.880000000000003,-0.047,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,1.5998214
06:16:43,22603000,31.176000000000002,0.364,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,3.575271
06:16:44,22604000,30.204000000000004,-0.273,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,1.16065
06:16:45,22605000,31.320000000000004,0.314,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,3.3037508
06:16:46,22606000,30.780000000000005,-0.152,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,1.3749366
06:16:47,22607000,30.060000000000002,-0.197,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,1.2794459
06:16:48,22608000,31.284000000000002,0.336,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,3.425422
06:16:49,22609000,22.860000000000003,-2.338,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,0.59618527
06:16:50,22610000,22.284000000000002,-0.162,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,1.0933547
06:16:51,22611000,23.112000000000002,0.227,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,2.161133
06:16:52,22612000,26.604000000000003,0.972,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,8.562289
06:16:53,22613000,30.240000000000002,1.012,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,9.510259
06:16:54,22614000,29.916000000000004,-0.088,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,1.4673979
06:16:55,22615000,30.996000000000002,0.298,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,3.18707
06:16:56,22616000,31.104000000000003,0.035,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,1.928931
06:16:57,22617000,30.528000000000002,-0.167,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,1.3427316
06:16:58,22618000,31.356000000000005,0.23500000000000001,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,2.8593304
06:16:59,22619000,30.312000000000005,-0.294,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,1.1299555
06:17:00,22620000,30.636000000000003,0.096,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,2.105401
06:17:01,22621000,30.708000000000002,0.014,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,1.8405542
06:17:02,22622000,30.060000000000002,-0.17400000000000002,Route10A_trip151994020_06:16:00,7,Euro4,Gasoline,Gillig_101,Passenger,1.3167584
