trip_id,id,type,busStop,lane,pos,parking,started,ended,delay,arrivalDelay,initialPersons,loadedPersons,unloadedPersons,initialContainers,loadedContainers,unloadedContainers,vid,start_time,gtfs_start_time,gtfs_end_time,first_stop_id,last_stop_id,route_id,block_id,block_name,start_diff
205253020,150,Gillig_101,354,-19509210_0,249.72,0,17461.0,17462.00,1.00,1.00,0,0,0,0,0,0,150,20220111 04:45,17460,19800,354,1710,13,1202,1301,1.0
204922020,123,Gillig_103,354,-19509210_0,249.72,0,17472.0,17473.00,12.00,12.00,0,0,0,0,0,0,123,20220111 04:45,17460,19800,354,95,1,502,102,12.0
205192020,147,Gillig_101,217,862060574#0_0,122.12,0,18301.0,18302.00,1.00,1.00,0,0,0,0,0,0,147,20220111 04:51,18300,20400,217,1351,10G,102,101,1.0
206130020,113,Gillig_103,1925,861288897#0_0,75.91,0,19501.0,19502.00,1.00,1.00,0,0,0,0,0,0,113,20220111 05:42,19500,21900,1925,1351,3,3602,301,1.0
206355020,504,Gillig_105,1883,785729520#20_0,1.94,0,19879.0,19880.00,79.00,79.00,0,0,0,0,0,0,504,20220111 05:51,19800,23400,1883,1351,4,4902,402,79.0
205144020,136,Gillig_102,2092,-19509210_0,249.72,0,20161.0,20163.00,2.00,1.00,0,3,0,0,0,0,136,20220111 05:43,20160,23400,2092,221,10C,402,1018,1.0
204920020,147,Gillig_101,1351,861011659_0,111.28,0,20386.0,20401.00,0.00,-14.00,7,3,0,0,0,0,147,20220111 05:35,20400,22200,1351,95,1,102,101,14.0
205146020,134,Gillig_103,2235,-861308193#6_0,10.70,0,20401.0,20402.00,1.00,1.00,0,0,0,0,0,0,134,20220111 05:42,20400,23400,2235,1351,10C,5202,405,1.0
205752020,140,Gillig_102,354,-19509210_0,249.72,0,20761.0,20764.00,3.00,1.00,0,5,0,0,0,0,140,20220111 05:45,20760,23400,354,1423,16,7602,907,1.0
205084020,129,Gillig_103,1870,861029874#0_0,97.03,0,21061.0,21064.00,3.00,1.00,0,5,0,0,0,0,129,20220111 05:45,21060,23400,1870,1351,10A,802,105,1.0
206310020,120,Gillig_103,354,-19509210_0,249.72,0,21061.0,21062.00,1.00,1.00,0,0,0,0,0,0,120,20220111 05:45,21060,25200,354,1876,4,4802,401,1.0
206779020,111,Gillig_103,354,-19509210_0,249.70,0,21075.0,21076.00,15.00,15.00,0,1,0,0,0,0,111,20220111 05:45,21060,23100,354,1710,9,7202,903,15.0
205193020,124,Gillig_103,217,862060574#0_0,122.12,0,21301.0,21302.00,1.00,1.00,0,1,0,0,0,0,124,20220111 05:43,21300,23400,217,1351,10G,3702,302,1.0
206020020,126,Gillig_103,354,-19509210_0,249.72,0,21361.0,21362.00,1.00,1.00,0,1,0,0,0,0,126,20220111 05:50,21360,22800,354,779,28,3402,2801,1.0
205062020,506,Gillig_105,354,-19509210_0,249.72,0,21661.0,21662.00,1.00,1.00,0,1,0,0,0,0,506,20220111 05:55,21660,24300,354,217,10A,602,103,1.0
