trip_id,vid,gtfs_trip_id,gtfs_time_start,gtfs_time_end
206311,504,206311,04:21:00,05:30:00
206129,113,206129,04:41:00,05:25:00
205253,150,205253,04:51:00,05:30:00
204922,123,204922,04:51:00,05:30:00
206312,501,206312,04:51:00,06:00:00
205145,134,205145,04:46:00,05:40:00
205192,147,205192,05:05:00,05:40:00
204920,147,204920,05:40:00,05:55:00
205146,134,205146,05:40:00,06:30:00
206130,113,206130,05:25:00,06:05:00
205193,124,205193,05:55:00,06:30:00
205144,136,205144,05:36:00,06:30:00
205084,129,205084,05:51:00,06:30:00
206779,111,206779,05:51:00,06:25:00
206310,120,206310,05:51:00,07:00:00
205752,140,205752,05:46:00,06:30:00
206020,126,206020,05:56:00,06:20:00
206355,504,206355,05:30:00,06:30:00
205062,506,205062,06:01:00,06:45:00
206128,113,206128,06:05:00,06:40:00
204951,147,204951,06:10:00,06:45:00
205143,154,205143,06:21:00,07:15:00
205085,146,205085,06:16:00,06:55:00
205252,150,205252,06:10:00,06:40:00
204919,123,204919,06:04:23,06:09:23
206356,501,206356,06:00:00,07:00:00
206778,138,206778,06:31:00,07:05:00
204918,129,204918,06:30:00,06:39:41
206309,504,206309,06:30:00,07:30:00
204950,123,204950,06:30:00,07:05:00
206127,124,206127,06:35:00,07:10:00
205927,134,205927,06:30:00,06:45:00
205778,140,205778,06:30:00,07:20:00
206131,113,206131,06:40:00,07:20:00
205265,150,205265,06:40:00,07:10:00
205172,147,205172,06:45:00,07:15:00
205949,134,205949,06:45:00,07:03:00
206862,703,206862,06:45:00,07:00:00
204917,146,204917,06:55:00,07:00:03
205147,136,205147,06:30:00,07:20:00
206063,727,206063,06:50:00,07:15:00
205190,506,205190,06:45:00,07:20:00
204949,129,204949,07:00:00,07:35:00
206354,120,206354,07:00:00,08:00:00
206037,126,206037,06:20:00,06:40:00
205738,111,205738,06:55:00,07:25:00
206036,126,206036,07:00:00,07:20:00
206301,501,206301,07:00:00,08:00:00
206939,703,206939,07:00:00,07:15:00
205928,134,205928,07:05:00,07:20:00
205061,123,205061,07:05:00,07:35:00
205148,154,205148,07:15:00,08:25:00
205251,150,205251,07:10:00,07:40:00
206132,124,206132,07:10:00,07:50:00
206864,703,206864,07:15:00,07:30:00
204916,506,204916,07:20:00,07:35:00
206799,138,206799,07:05:00,07:40:00
205078,147,205078,07:15:00,07:45:00
205397,144,205397,07:21:00,07:40:00
206018,126,206018,07:20:00,07:40:00
206085,727,206085,07:15:00,07:30:00
206777,135,206777,07:21:00,08:00:00
204948,146,204948,07:25:00,08:00:00
206126,113,206126,07:20:00,07:55:00
205950,134,205950,07:20:00,07:38:00
205396,143,205396,07:28:00,07:47:00
206353,504,206353,07:30:00,08:30:00
205140,136,205140,07:30:00,08:10:00
205762,111,205762,07:25:00,08:00:00
205395,140,205395,07:35:00,07:54:00
205189,123,205189,07:35:00,08:30:00
206941,703,206941,07:30:00,07:45:00
205171,129,205171,07:35:00,08:05:00
206064,727,206064,07:30:00,07:45:00
205526,144,205526,07:40:00,07:51:00
205264,150,205264,07:40:00,08:10:00
206035,126,206035,07:40:00,08:00:00
205737,138,205737,07:40:00,08:10:00
206866,703,206866,07:45:00,08:00:00
205925,134,205925,07:45:00,08:00:00
204915,147,204915,07:45:00,07:53:20
204947,506,204947,07:50:00,08:25:00
206086,727,206086,07:45:00,08:00:00
205394,144,205394,07:51:00,08:01:00
205511,143,205511,07:47:00,07:58:00
206344,501,206344,08:00:00,09:00:00
205496,140,205496,07:54:00,08:05:00
206133,113,206133,07:55:00,08:55:00
205141,124,205141,08:00:00,08:40:00
205380,143,205380,07:58:00,08:08:00
206017,126,206017,08:00:00,08:20:00
204914,145,204914,08:04:38,08:25:00
206943,703,206943,08:00:00,08:15:00
206065,727,206065,08:00:00,08:15:00
205947,134,205947,08:00:00,08:18:00
206299,120,206299,08:00:00,09:00:00
205525,144,205525,08:01:00,08:12:00
