trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
196372020,1,1,"ALTON PARK",,0,802,shp-1-04,2,2,107
196374020,1,1,"ALTON PARK",,0,2602,shp-1-03,2,2,155
196375020,1,1,"ALTON PARK",,0,2802,shp-1-03,2,2,156
196376020,1,1,"ALTON PARK",,0,2602,shp-1-03,2,2,155
196377020,1,1,"ALTON PARK",,0,2802,shp-1-03,2,2,156
196378020,1,1,"ALTON PARK",,0,2602,shp-1-03,2,2,155
196379020,1,1,"ALTON PARK",,0,5302,shp-1-03,2,2,452
196380020,1,1,"ALTON PARK",,0,2802,shp-1-03,2,2,156
196381020,1,1,"ALTON PARK",,0,902,shp-1-03,2,2,108
196382020,1,1,"ALTON PARK",,0,2402,shp-1-03,2,2,153
196383020,1,1,"ALTON PARK",,0,2602,shp-1-04,2,2,155
196384020,1,1,"ALTON PARK",,0,5302,shp-1-03,2,2,452
196385020,1,1,"ALTON PARK",,0,2502,shp-1-03,2,2,154
196386020,1,1,"ALTON PARK",,0,902,shp-1-03,2,2,108
196387020,1,1,"ALTON PARK",,0,2402,shp-1-03,2,2,153
196388020,1,1,"ALTON PARK",,0,702,shp-1-03,2,2,106
196389020,1,1,"ALTON PARK",,0,2302,shp-1-04,2,2,152
196390020,1,1,"ALTON PARK",,0,902,shp-1-03,2,2,108
196391020,1,1,"ALTON PARK",,0,2402,shp-1-04,2,2,153
196392020,1,1,"ALTON PARK",,0,102,shp-1-03,2,2,101
196393020,1,1,"ALTON PARK",,0,2302,shp-1-04,2,2,152
196394020,1,1,"ALTON PARK",,0,602,shp-1-03,2,2,105
196395020,1,1,"ALTON PARK",,0,702,shp-1-03,2,2,106
196396020,1,1,"ALTON PARK",,0,102,shp-1-03,2,2,101
196397020,1,1,"ALTON PARK",,0,402,shp-1-03,2,2,103
196398020,1,1,"ALTON PARK",,0,602,shp-1-03,2,2,105
196399020,1,1,"ALTON PARK",,0,702,shp-1-04,2,2,106
196400020,1,1,"ALTON PARK",,0,102,shp-1-03,2,2,101
196401020,1,1,"ALTON PARK",,0,402,shp-1-03,2,2,103
196402020,1,1,"ALTON PARK",,0,502,shp-1-03,2,2,104
196403020,1,1,"ALTON PARK",,0,602,shp-1-03,2,2,105
196404020,1,1,"ALTON PARK",,0,302,shp-1-04,2,2,102
196405020,1,1,"ALTON PARK",,0,102,shp-1-03,2,2,101
196406020,1,1,"ALTON PARK",,0,802,shp-1-03,2,2,107
197118020,1,1,"ALTON PARK",,0,6902,shp-1-04,2,2,904
197196020,1,1,"ALTON PARK",,0,2802,shp-1-03,2,2,156
196408020,1,1,"DOWNTOWN",,1,2602,shp-1-66,2,2,155
196409020,1,1,"DOWNTOWN",,1,2802,shp-1-66,2,2,156
