time,speed,acceleration,vehicle_ref,actorConfig_id,actorConfig_emissionClass,actorConfig_fuel,actorConfig_ref,actorConfig_vehicleClass
21600000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21601000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21602000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21603000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21604000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21605000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21606000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21607000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21608000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21609000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21610000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21611000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21612000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21613000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21614000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21615000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21616000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21617000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21618000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21619000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21620000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21621000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21622000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21623000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21624000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21625000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21626000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21627000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21628000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21629000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21630000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21631000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21632000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21633000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21634000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21635000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21636000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21637000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21638000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21639000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21640000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21641000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21642000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21643000,0,0,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21644000,119,1187,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21645000,200,810,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21646000,334,1340,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21647000,456,1221,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21648000,584,1284,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21649000,687,1025,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21650000,800,1131,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21651000,937,1374,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21652000,1046,1089,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
21653000,1135,889,trip152322020_06:00:00,6,Euro4,Gasoline,Gillig_105,Passenger
