interval_begin,interval_end,edge_id,edge_speed,edge_density,edge_laneDensity,edge_left,edge_occupancy,edge_traveltime,edge_waitingTime,edge_entered
21600.0,22200.0,-1000,26.65,0.7,0.35,11,0.18,9.3,0.0,11
21600.0,22200.0,-10000,,,,0,,,,0
21600.0,22200.0,-10001,,,,0,,,,0
21600.0,22200.0,-10002,17.87,1.64,1.64,10,0.86,108.48,0.0,21
21600.0,22200.0,-10003,14.65,0.34,0.34,3,0.17,108.49,0.0,2
21600.0,22200.0,-10004,,,,0,,,,0
21600.0,22200.0,-10005,8.05,0.06,0.06,0,0.03,233.97,0.0,1
21600.0,22200.0,-10006,18.56,0.27,0.27,3,0.13,46.49,0.0,3
21600.0,22200.0,-10007,,,,0,,,,0
21600.0,22200.0,-10008,7.06,0.24,0.24,1,0.12,121.92,0.0,1
21600.0,22200.0,-10009,13.08,2.31,2.31,17,1.34,67.82,174.0,17
21600.0,22200.0,-1001,26.52,0.7,0.35,11,0.18,11.83,0.0,11
21600.0,22200.0,-10010,,,,0,,,,0
21600.0,22200.0,-10011,,,,0,,,,0
21600.0,22200.0,-10012,,,,0,,,,0
21600.0,22200.0,-10013,8.18,0.42,0.42,2,0.2,30.38,0.0,2
21600.0,22200.0,-10014,,,,0,,,,0
21600.0,22200.0,-10015,8.68,0.58,0.58,3,0.29,54.89,0.0,3
21600.0,22200.0,-10016,8.43,0.21,0.21,1,0.1,9.6,0.0,1
21600.0,22200.0,-10017,9.05,0.18,0.18,1,0.09,5.89,0.0,0
21600.0,22200.0,-10018,,,,0,,,,0
21600.0,22200.0,-10019,,,,0,,,,0
21600.0,22200.0,-1002,25.59,0.6,0.3,9,0.15,9.17,0.0,9
21600.0,22200.0,-10020,,,,0,,,,0
21600.0,22200.0,-10021,,,,0,,,,0
21600.0,22200.0,-10022,8.53,0.4,0.4,2,0.2,31.36,0.0,2
21600.0,22200.0,-10023,7.81,0.21,0.21,1,0.11,124.69,0.0,0
21600.0,22200.0,-10024,,,,0,,,,0
21600.0,22200.0,-10025,,,,0,,,,0
21600.0,22200.0,-10026,,,,0,,,,0
21600.0,22200.0,-10027,18.35,0.25,0.25,1,0.13,52.63,0.0,4
21600.0,22200.0,-10028,,,,0,,,,0
21600.0,22200.0,-1003,21.42,0.72,0.36,9,0.18,8.13,0.0,9
21600.0,22200.0,-10030,11.38,15.35,15.35,94,8.85,27.62,440.0,109
21600.0,22200.0,-10031,,,,0,,,,0
21600.0,22200.0,-10032,,,,0,,,,0
21600.0,22200.0,-10033,8.29,0.41,0.41,2,0.2,21.5,0.0,1
21600.0,22200.0,-10034,8.86,0.19,0.19,1,0.09,29.75,0.0,1
21600.0,22200.0,-10035,,,,0,,,,0
21600.0,22200.0,-10036,8.28,0.2,0.2,1,0.1,55.14,0.0,1
21600.0,22200.0,-10037,8.02,0.42,0.42,2,0.21,51.16,0.0,1
21600.0,22200.0,-10038,,,,0,,,,0
21600.0,22200.0,-10039,,,,0,,,,0
21600.0,22200.0,-1004,26.71,0.06,0.03,1,0.02,14.57,0.0,0
21600.0,22200.0,-10040,,,,0,,,,0
21600.0,22200.0,-10041,7.84,0.11,0.11,0,0.06,150.11,0.0,1
21600.0,22200.0,-10042,,,,0,,,,0
21600.0,22200.0,-10043,7.21,0.47,0.47,2,0.23,27.43,0.0,1
21600.0,22200.0,-10044,7.77,0.21,0.21,1,0.1,12.33,0.0,0
21600.0,22200.0,-10045,16.72,1.53,1.53,13,0.76,37.61,0.0,16
21600.0,22200.0,-10046,,,,0,,,,0
21600.0,22200.0,-10047,15.98,0.9,0.9,8,0.57,54.64,0.0,8
21600.0,22200.0,-10048,,,,0,,,,0
21600.0,22200.0,-10049,,,,0,,,,0
21600.0,22200.0,-1005,,,,0,,,,0
21600.0,22200.0,-10050,,,,0,,,,0
21600.0,22200.0,-10051,,,,0,,,,0
21600.0,22200.0,-10052,,,,0,,,,0
21600.0,22200.0,-10053,22.56,1.49,1.49,19,0.7,3.69,0.0,19
21600.0,22200.0,-10054,,,,0,,,,0
21600.0,22200.0,-10055,16.61,0.1,0.1,1,0.05,43.03,0.0,1
21600.0,22200.0,-10056,,,,0,,,,0
21600.0,22200.0,-10057,,,,0,,,,0
21600.0,22200.0,-10058,,,,0,,,,0
21600.0,22200.0,-10059,17.24,0.1,0.1,1,0.05,30.86,0.0,1
21600.0,22200.0,-1006,26.63,0.7,0.35,11,0.18,9.83,0.0,11
21600.0,22200.0,-10060,7.84,0.21,0.21,1,0.11,139.09,0.0,0
21600.0,22200.0,-10061,9.22,0.18,0.18,1,0.09,264.8,0.0,0
21600.0,22200.0,-10062,,,,0,,,,0
21600.0,22200.0,-10063,,,,0,,,,0
21600.0,22200.0,-10064,,,,0,,,,0
21600.0,22200.0,-10065,26.29,0.06,0.06,1,0.03,22.56,0.0,0
21600.0,22200.0,-10066,7.95,0.91,0.91,4,0.44,37.1,0.0,4
21600.0,22200.0,-10067,16.14,0.23,0.23,2,0.12,71.18,0.0,2
21600.0,22200.0,-10068,,,,0,,,,0
21600.0,22200.0,-10069,14.82,0.11,0.11,1,0.06,65.99,0.0,0
21600.0,22200.0,-1007,26.5,0.71,0.36,11,0.18,5.36,0.0,9
21600.0,22200.0,-10070,,,,0,,,,0
21600.0,22200.0,-10071,14.44,0.13,0.13,1,0.06,17.12,0.0,2
21600.0,22200.0,-10072,18.29,0.09,0.09,1,0.05,73.9,0.0,1
21600.0,22200.0,-10073,7.75,0.52,0.52,2,0.2,1.44,0.0,1
21600.0,22200.0,-10074,10.24,1.81,1.81,11,0.93,35.89,118.0,9
21600.0,22200.0,-10075,13.78,1.23,1.23,9,0.56,2.9,0.0,9
21600.0,22200.0,-10076,14.88,3.44,3.44,28,1.55,3.43,0.0,28
21600.0,22200.0,-10077,19.28,0.26,0.26,3,0.13,20.34,0.0,3
21600.0,22200.0,-10078,19.1,0.28,0.28,3,0.14,32.82,0.0,4
21600.0,22200.0,-10079,8.0,0.21,0.21,1,0.1,112.19,0.0,1
21600.0,22200.0,-1008,11.7,0.14,0.14,1,0.06,3.38,0.0,0
21600.0,22200.0,-10080,8.19,0.2,0.2,1,0.08,1.7,0.0,0
21600.0,22200.0,-10081,18.5,0.09,0.09,1,0.04,58.92,0.0,1
21600.0,22200.0,-10082,8.7,0.26,0.26,1,0.09,1.64,0.0,1
21600.0,22200.0,-10083,19.18,0.46,0.46,5,0.22,3.18,0.0,4
21600.0,22200.0,-10084,19.2,0.36,0.36,4,0.17,5.51,0.0,4
