stopinfo_id,stopinfo_busStop,stopinfo_started,stopinfo_arrivalDelay,stopinfo_ended,stopinfo_delay,stopinfo_initialPersons,stopinfo_loadedPersons,stopinfo_unloadedPersons,stopinfo_lane,stopinfo_pos,stopinfo_parking
trip149433010_08:46:00,busStop_-9282_0_354,32101.0,571.0,32131.0,571.0,0,6,0,-9282_0,247.16,0
trip149954010_08:46:00,busStop_-9282_0_354,32102.0,572.0,32132.0,572.0,0,0,0,-9282_0,236.16,0
trip151683020_08:35:00,busStop_-2074_0_1351,30932.0,62.0,30962.0,62.0,0,0,0,-2074_0,56.8,0
trip151684020_08:01:00,busStop_-9282_0_354,28861.0,31.0,28891.0,31.0,0,3,0,-9282_0,247.16,0
trip151685020_07:45:00,busStop_-2074_0_1351,27903.0,33.0,27933.0,33.0,0,2,0,-2074_0,56.8,0
trip151685020_07:45:00,busStop_-1489_0_12,29029.0,1108.0,29059.0,1108.0,2,1,0,-1489_0,129.51,0
trip151685020_07:45:00,busStop_gneE48_0_1555,29080.0,1104.0,29110.0,1104.0,3,1,1,gneE48_0,127.51,0
trip151685020_07:45:00,busStop_-1510_0_1579,29137.0,1146.0,29167.0,1146.0,3,0,0,-1510_0,127.38,0
trip151685020_07:45:00,busStop_-1524_0_1354,29470.0,1437.0,29500.0,1437.0,3,1,0,-1524_0,127.73,0
trip151685020_07:45:00,busStop_-17163_0_26,31497.0,3064.0,31527.0,3064.0,4,0,0,-17163_0,70.18,0
trip151685020_07:45:00,busStop_-16616_0_27,31543.0,3092.0,31573.0,3092.0,4,0,0,-16616_0,77.18,0
trip151685020_07:45:00,busStop_-16625_0_28,31590.0,3120.0,31620.0,3120.0,4,4,0,-16625_0,91.92,0
trip151686020_07:20:00,busStop_-2074_0_1351,26401.0,31.0,26431.0,31.0,0,0,0,-2074_0,56.8,0
trip151686020_07:20:00,busStop_-1489_0_12,27542.0,1121.0,27572.0,1121.0,0,0,0,-1489_0,129.51,0
trip151686020_07:20:00,busStop_gneE48_0_1555,27594.0,1118.0,27624.0,1118.0,0,0,0,gneE48_0,127.53,0
trip151686020_07:20:00,busStop_-1510_0_1579,27709.0,1218.0,27739.0,1218.0,0,0,0,-1510_0,127.38,0
trip151686020_07:20:00,busStop_-1524_0_1354,28133.0,1600.0,28163.0,1600.0,0,1,0,-1524_0,127.74,0
trip151686020_07:20:00,busStop_-17159_0_24,29823.0,2975.0,29853.0,2975.0,1,1,0,-17159_0,64.05,0
trip151686020_07:20:00,busStop_-17162_0_25,31556.0,4686.0,31586.0,4686.0,2,4,0,-17162_0,16.3,0
trip151687020_06:55:00,busStop_-2074_0_1351,24901.0,31.0,24931.0,31.0,0,0,0,-2074_0,45.8,0
trip151687020_06:55:00,busStop_-1489_0_12,26014.0,1093.0,26044.0,1093.0,0,2,0,-1489_0,129.52,0
trip151687020_06:55:00,busStop_gneE48_0_1555,26064.0,1088.0,26094.0,1088.0,2,1,0,gneE48_0,127.53,0
trip151687020_06:55:00,busStop_-1510_0_1579,26133.0,1142.0,26163.0,1142.0,3,2,1,-1510_0,127.37,0
trip151687020_06:55:00,busStop_-1524_0_1354,26559.0,1526.0,26589.0,1526.0,4,2,1,-1524_0,127.75,0
trip151687020_06:55:00,busStop_-17163_0_26,28542.0,3109.0,28572.0,3109.0,5,1,0,-17163_0,70.19,0
trip151687020_06:55:00,busStop_-16616_0_27,28588.0,3137.0,28618.0,3137.0,6,0,0,-16616_0,77.15,0
trip151687020_06:55:00,busStop_-16625_0_28,28637.0,3167.0,28667.0,3167.0,6,3,0,-16625_0,91.9,0
trip151687020_06:55:00,busStop_gneE4_0_44,29531.0,3761.0,29561.0,3761.0,9,0,4,gneE4_0,53.1,0
trip151687020_06:55:00,busStop_-29660_0_95,29946.0,3276.0,29976.0,3276.0,5,0,1,-29660_0,94.02,0
trip151688020_06:30:00,busStop_-2074_0_1351,23401.0,31.0,23431.0,31.0,0,0,0,-2074_0,56.8,0
trip151688020_06:30:00,busStop_-1489_0_12,23545.0,124.0,23575.0,124.0,0,0,0,-1489_0,129.51,0
trip151688020_06:30:00,busStop_gneE48_0_1555,23598.0,122.0,23628.0,122.0,0,0,0,gneE48_0,127.48,0
trip151688020_06:30:00,busStop_-1510_0_1579,23661.0,170.0,23691.0,170.0,0,0,0,-1510_0,127.38,0
trip151688020_06:30:00,busStop_-1524_0_1354,23718.0,185.0,23748.0,185.0,0,0,0,-1524_0,127.75,0
trip151688020_06:30:00,busStop_-17309_0_18,24345.0,712.0,24375.0,712.0,0,2,0,-17309_0,72.92,0
trip151688020_06:30:00,busStop_-17301_0_1357,25471.0,1720.0,25501.0,1720.0,2,1,0,-17301_0,108.28,0
trip151688020_06:30:00,busStop_-16532_1_21,25516.0,1750.0,25546.0,1750.0,3,6,0,-16532_1,47.69,0
trip151688020_06:30:00,busStop_-17163_0_26,27349.0,3416.0,27379.0,3416.0,9,0,0,-17163_0,70.19,0
trip151688020_06:30:00,busStop_-16616_0_27,27397.0,3446.0,27427.0,3446.0,9,1,0,-16616_0,77.18,0
trip151688020_06:30:00,busStop_-16625_0_28,27445.0,3475.0,27475.0,3475.0,10,3,0,-16625_0,91.92,0
