timepoint_id,timepoint_code,timepoint_name,timepoint_desc,timepoint_lat,timepoint_lon,zone_id,timepoint_url,location_type,parent_station,timepoint_timezone,wheelchair_boarding
3,3293,"HICKORY VALLEY + BONNY OAKS DRIVE",,35.072538,-85.156160,,,,,,2
4,1565,"DODDS + 37TH",,34.998673,-85.282462,,,,,,2
5,1920,"HIXSON PK + DUPONT ELEM",,35.114790,-85.253693,,,,,,2
6,739,"FRAZIER + WOODLAND",,35.062568,-85.307925,,,,,,0
7,2120,"MAIN + HIGHLAND PK",,35.027963,-85.285418,,,,,,2
9,1942,"HIXSON PK + LAWSON",,35.100700,-85.277185,,,,,,2
11,1159,"40TH + TEACHER PL",,35.008167,-85.324138,,,,,,2
12,2319,"RIVERSIDE CENTER",,35.055694,-85.280897,,,,,,2
14,52,"37TH + ALTON PARK BLVD",,35.009560,-85.317415,,,,,,0
15,1924,"HIXSON PK + ELY",,35.123223,-85.248193,,,,,,2
16,1574,"DODDS + 44TH",,34.991592,-85.286357,,,,,,2
17,2523,"WILCOX + PARKWAY",,35.046905,-85.236113,,,,,,2
18,1770,"ROANOKE + WILCOX NW",,35.053978,-85.263787,,,,,,2
21,2086,"M.L.KING BLVD + MAGNOLIA",,35.041313,-85.296355,,,,,,2
24,1921,"HIXSON PK + DUPONT PKWY",,35.117095,-85.250308,,,,,,2
27,1531,"DODDS + 16TH",,35.020890,-85.270557,,,,,,2
28,2175,"MARKET + 19TH",,35.032758,-85.308640,,,,,,2
29,1929,"HIXSON PK + GRACE BIBLE",,35.111532,-85.269143,,,,,,2
30,54,"38TH + OHLS",,35.007598,-85.316365,,,,,,0
31,2144,"MAIN + S HICKORY",,35.026965,-85.282653,,,,,,2
32,1843,"TUNNEL BLVD + SHALLOWFORD",,35.037827,-85.240299,,,,,,0
33,1704,"GLENWOOD + VINE",,35.033673,-85.262753,,,,,,2
35,1064-cd,"TUNNEL BLVD + PERSIMMON",,35.052043,-85.234763,,,,,,0
37,2141,"MAIN + RIVERFRONT",,35.040842,-85.319592,,,,,,2
39,1911,"HIXSON PK + BLACK OAK",,35.101530,-85.275738,,,,,,2
41,563,"N POINT BLVD + HIXON PK",,35.135835,-85.239452,,,,,,0
46,2588,"WOODLAND VIEW + JEFFEREY",,34.989323,-85.305493,,,,,,2
47,2458,"UNION + BAILEY",,35.031845,-85.273435,,,,,,2
48,1840,"SHALLOWFORD RD + CENTER",,35.043917,-85.159312,,,,,,2
50,1169-cd,"DODDS + 16TH",,35.020600,-85.270542,,,,,,0
52,2308,"OKNOB + ROBBINS",,35.046667,-85.268937,,,,,,2
53,1329,"BRAINERD RD + SUBWAY",,35.010268,-85.218995,,,,,,2
54,1265,"BARTON + MCFARLAND",,35.064353,-85.296577,,,,,,2
55,2142,"MAIN + ROSSVILLE AVE",,35.035505,-85.305525,,,,,,2
56,1582,"BROAD + POPEYES",,35.016102,-85.323010,,,,,,2
57,1287,"BOYNTON + RENAISSANCE",,35.043380,-85.319163,,,,,,2
59,1845,"SHALLOWFORD RD + RED ROOF INN",,35.043655,-85.159105,,,,,,2
60,45,"BI LO + 40TH",,35.008190,-85.326347,,,,,,0
61,1972,"HIXSON PK + RUSSELL",,35.066260,-85.291633,,,,,,2
64,3125,"BRAINERD + GERMANTOWN",,35.023968,-85.246080,,,,,,2
65,1141,"3RD + LOOKOUT",,35.053588,-85.306543,,,,,,2
67,42,"TENN AVE + 37TH",,35.012978,-85.325887,,,,,,0
68,1497,"CHAMBERLAIN + POLK",,35.050533,-85.257380,,,,,,2
69,2439,"TUNNEL BLVD + HOYT",,35.042320,-85.238610,,,,,,2
77,1471,"CHAMBERLAIN + BOONE",,35.068513,-85.247398,,,,,,2
78,1133,"3RD + HIGHLAND PARK",,35.043102,-85.278028,,,,,,2
82,2560,"WILLOW + VINE",,35.036312,-85.270987,,,,,,2
84,2188,"MARKET + 6TH",,35.048828,-85.309547,,,,,,2
86,1648,"ENGLISH AVE + 49TH",,34.986923,-85.288438,,,,,,2
87,518,"FALMOUTH + HIXSON PIKE",,35.069372,-85.289250,,,,,,0
88,1171-cd,"MAIN + 2501",,35.022653,-85.271018,,,,,,0
89,2942,"SHOLAR + CARTA",,35.056167,-85.268713,,,,,,2
90,1581,"33RD + CHATTEM",,35.017452,-85.321675,,,,,,0
92,1939,"HIXSON PK + INTERMONT",,35.106350,-85.272353,,,,,,2
93,2415,"STUART + WHEELER",,35.070830,-85.247542,,,,,,2
94,1562,"DODDS + 36TH",,35.000640,-85.281795,,,,,,2
95,1127,"3RD + HAMPTON",,35.048288,-85.291697,,,,,,2
96,2148,"MAIN + WATAUGA",,35.027872,-85.285323,,,,,,2
97,1558,"DODDS + 33RD",,35.003500,-85.280222,,,,,,2
98,2874,"GREENWAY VW DR + BRAINERD RD",,35.013812,-85.210873,,,,,,2
100,3111,"GUNBARREL + COMMONS",,35.036725,-85.151952,,,,,,2
103,1956,"HIXSON PK + MUNRO",,35.109358,-85.271320,,,,,,2
104,1269,"BARTON + RUSSELL",,35.066182,-85.291618,,,,,,2
105,1925,"HIXSON PK + ENGLEWOOD",,35.074565,-85.288455,,,,,,2
106,2299,"OKNOB + CITICO",,35.046142,-85.269318,,,,,,2
107,1255,"BAILEY AVE + KELLY",,35.031813,-85.271797,,,,,,2
108,1085,"33RD + TARLTON",,35.016097,-85.317972,,,,,,2
111,1934,"HIXSON PK + HANOVER",,35.068680,-85.289472,,,,,,2
112,2298,"OKNOB + CITICO",,35.045728,-85.269413,,,,,,2
113,2138,"MAIN + ORCHARD KNOB",,35.026123,-85.280190,,,,,,2
114,1766,"ROANOKE + OLIVE",,35.057940,-85.261608,,,,,,2
120,2013,"HOUSTON + 11TH",,35.042653,-85.306685,,,,,,2
123,802,"FRAZIER + TREMONT",,35.061652,-85.304730,,,,,,0
126,952,"BRAINERD RD + KRISPY KREME",,35.010633,-85.217740,,,,,,0
128,2102,"MAIN + CENTRAL",,35.031900,-85.296100,,,,,,2
129,1266,"BARTON + MISSISSIPPI",,35.065648,-85.293192,,,,,,2
130,1049,"23RD + 4TH",,35.017953,-85.279952,,,,,,2
131,2135,"MAIN + MULBERRY",,35.025463,-85.278345,,,,,,2
133,3092,"ORCHARD KNOB + CLEVELAND",,35.042947,-85.270875,,,,,,2
134,2156,"MAIN + WILLOW",,35.024943,-85.277010,,,,,,2
136,1548,"DODDS + 28TH",,35.009127,-85.277217,,,,,,2
139,1940,"HIXSON PK + INTERMONT",,35.106875,-85.272273,,,,,,2
140,1685,"GLENWOOD + 4TH",,35.035867,-85.261562,,,,,,2
141,2061,"LEE HWY + ROBINSON",,35.043253,-85.165272,,,,,,2
142,1109,"38TH + HUGHES",,35.005842,-85.311438,,,,,,2
143,1913,"40TH + TENNESSEE AVE",,35.008095,-85.327302,,,,,,0
144,829,"WILLOW + BAILEY",,35.032425,-85.273435,,,,,,0
146,1687,"GLENWOOD + 5TH",,35.035048,-85.261990,,,,,,2
147,1693,"GLENWOOD + MCCALLIE",,35.032012,-85.263675,,,,,,2
148,1462,"MARKET + 14TH",,35.036585,-85.307273,,,,,,2
150,2058,"LEE HWY + PERIMETER",,35.030347,-85.185602,,,,,,2
154,1538,"DODDS + 19TH",,35.017993,-85.272163,,,,,,2
155,75,"52ND + POLK",,34.989392,-85.311852,,,,,,0
156,2503,"WILCOX + DALEWOOD",,35.043833,-85.228247,,,,,,0
157,1764,"ROANOKE + OCOEE",,35.056708,-85.262277,,,,,,2
159,1080,"33RD + CHATTEM",,35.017270,-85.321325,,,,,,2
160,2862,"BRAINERD + FOOD LION",,35.022602,-85.242868,,,,,,2
161,31,"ALTON PK BLVD + RRX",,35.016793,-85.313345,,,,,,0
164,2826,"GUNBARREL + FAMOUS DAVES",,35.035072,-85.152873,,,,,,2
165,2838,"LEE HWY + HERB ADCOX",,35.019932,-85.202465,,,,,,2
166,2550,"WILLOW + CHAMBERLAIN",,35.033077,-85.272925,,,,,,2
168,2242,"MCCALLIE AVE + GLENWOOD",,35.031988,-85.264183,,,,,,2
170,2425,"TENN AVE + WALGREENS",,35.013737,-85.325457,,,,,,2
172,2255,"MCCALLIE AVE + LYERLY",,35.033955,-85.269207,,,,,,2
173,1432,"CARTER + 14TH",,35.040217,-85.314680,,,,,,2
174,1569,"DODDS + 41ST",,34.995507,-85.284275,,,,,,2
176,2116,"MAIN + GULF",,35.029647,-85.290155,,,,,,2
177,1139,"3RD + HOUSTON",,35.051912,-85.301298,,,,,,2
178,1473,"CHAMBERLAIN + BRAGG",,35.059557,-85.252278,,,,,,2
180,3,"HALSEY + CENTRAL",,34.989068,-85.319482,,,,,,2
182,2122,"MAIN + HOLLY",,35.027482,-85.284083,,,,,,2
185,2045,"LEE HWY + CONNER LN",,35.042347,-85.166432,,,,,,2
187,2038,"LEE HWY + AIRPORT ROAD",,35.022642,-85.198078,,,,,,2
188,2182,"MARKET + 3RD",,35.053433,-85.309547,,,,,,2
191,1906,"HIXSON PK + ALTAMONT",,35.088258,-85.288487,,,,,,2
193,2127,"MAIN + KELLY",,35.024717,-85.276343,,,,,,2
197,1206,"52ND + 524",,34.989823,-85.312997,,,,,,2
198,1935,"HIXSON PK + HAYWOOD",,35.091413,-85.286468,,,,,,2
199,1135,"3RD + HOLLY",,35.042617,-85.276788,,,,,,2
200,261,"OKNOB + 957",,35.049420,-85.267188,,,,,,0
201,32,"ALTON PK BLVD + 33RD",,35.015037,-85.314315,,,,,,0
202,1541,"DODDS + 23RD",,35.015990,-85.273593,,,,,,2
203,2879,"LEE HWY + HAMILTON INN",,35.041747,-85.167418,,,,,,2
205,68,"CENTRAL + BEDFORD",,34.990715,-85.318655,,,,,,0
207,3348,"HAMMALL",,35.036757,-85.160408,,,,,,2
