trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
204888020,1,1,"ALTON PARK",,0,1002,shp-1-04,2,2,107
204889020,1,1,"ALTON PARK",,0,2802,shp-1-03,2,2,155
204890020,1,1,"ALTON PARK",,0,3002,shp-1-03,2,2,156
204891020,1,1,"ALTON PARK",,0,2802,shp-1-03,2,2,155
204892020,1,1,"ALTON PARK",,0,3002,shp-1-03,2,2,156
204893020,1,1,"ALTON PARK",,0,2802,shp-1-03,2,2,155
204894020,1,1,"ALTON PARK",,0,5702,shp-1-03,2,2,452
204895020,1,1,"ALTON PARK",,0,3002,shp-1-03,2,2,156
204896020,1,1,"ALTON PARK",,0,1102,shp-1-03,2,2,108
204897020,1,1,"ALTON PARK",,0,2602,shp-1-03,2,2,153
204898020,1,1,"ALTON PARK",,0,2802,shp-1-04,2,2,155
204899020,1,1,"ALTON PARK",,0,5702,shp-1-03,2,2,452
204900020,1,1,"ALTON PARK",,0,2702,shp-1-03,2,2,154
204901020,1,1,"ALTON PARK",,0,1102,shp-1-03,2,2,108
204902020,1,1,"ALTON PARK",,0,2602,shp-1-03,2,2,153
204903020,1,1,"ALTON PARK",,0,302,shp-1-03,2,2,1016
204904020,1,1,"ALTON PARK",,0,2502,shp-1-03,2,2,152
204905020,1,1,"ALTON PARK",,0,1102,shp-1-03,2,2,108
204906020,1,1,"ALTON PARK",,0,2602,shp-1-03,2,2,153
204907020,1,1,"ALTON PARK",,0,102,shp-1-03,2,2,101
204908020,1,1,"ALTON PARK",,0,2502,shp-1-04,2,2,152
204909020,1,1,"ALTON PARK",,0,802,shp-1-03,2,2,105
204910020,1,1,"ALTON PARK",,0,902,shp-1-03,2,2,106
204911020,1,1,"ALTON PARK",,0,102,shp-1-03,2,2,101
204912020,1,1,"ALTON PARK",,0,602,shp-1-03,2,2,103
204913020,1,1,"ALTON PARK",,0,802,shp-1-03,2,2,105
204914020,1,1,"ALTON PARK",,0,902,shp-1-04,2,2,106
204915020,1,1,"ALTON PARK",,0,102,shp-1-03,2,2,101
204916020,1,1,"ALTON PARK",,0,602,shp-1-03,2,2,103
204917020,1,1,"ALTON PARK",,0,702,shp-1-03,2,2,104
204918020,1,1,"ALTON PARK",,0,802,shp-1-03,2,2,105
204919020,1,1,"ALTON PARK",,0,502,shp-1-03,2,2,102
204920020,1,1,"ALTON PARK",,0,102,shp-1-03,2,2,101
204921020,1,1,"ALTON PARK",,0,1002,shp-1-03,2,2,107
