route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,1,1,Alton Park (Out & In),,3,,ff8080,000000
1,1,1,Alton Park (Out & In),,3,,ffffff,000000
10A,1,10A,Avondale,,3,,80ffff,000000
10G,1,10G,10G,,3,,c0c0c0,000000
16,1,16,Northgate Mall,,3,,c0c0c0,000000
21,1,21,Golden Gateway,,3,,0000ff,000000
3,1,3,Enterprise South,,3,,800080,000000
33,1,33,Downtown Shuttle,,3,,0000ff,000000
34,1,34,North Shore Shuttle,,3,,0000ff,000000
4,1,4,Eastgate/Hamilton Pl,,3,,0000ff,000000
7,1,7,Chattanooga Housing Authority,,3,,c0c0c0,000000
8,1,8,Eastdale,,3,,0000ff,000000
9,1,9,East Lake,,3,,0000ff,000000
