time,time_ms,speed,acceleration,vehicle_ref,actorConfig_id,actorConfig_emissionClass,actorConfig_fuel,actorConfig_ref,actorConfig_vehicleClass,Power
6:00:00,21600000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:01,21601000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:02,21602000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:03,21603000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:04,21604000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:05,21605000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:06,21606000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:07,21607000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:08,21608000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:09,21609000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:10,21610000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:11,21611000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:12,21612000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:13,21613000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:14,21614000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:15,21615000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:16,21616000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:17,21617000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:18,21618000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:19,21619000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:20,21620000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:21,21621000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:22,21622000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:23,21623000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:24,21624000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:25,21625000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:26,21626000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:27,21627000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:28,21628000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:29,21629000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:30,21630000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:31,21631000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:32,21632000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:33,21633000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:34,21634000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:35,21635000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:36,21636000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:37,21637000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:38,21638000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:39,21639000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:40,21640000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:41,21641000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:42,21642000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:43,21643000,0,0,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,6.702348
6:00:44,21644000,93,933,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,25.10637
6:00:45,21645000,157,637,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,29.285727
6:00:46,21646000,262,1053,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,54.786423
6:00:47,21647000,358,959,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,66.6949
6:00:48,21648000,459,1009,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,81.888725
6:00:49,21649000,560,1008,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,97.918
6:00:50,21650000,649,889,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,106.75966
6:00:51,21651000,757,1080,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,133.28546
6:00:52,21652000,842,856,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,131.09018
6:00:53,21653000,912,699,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,127.89415
6:00:54,21654000,999,869,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,149.4248
6:00:55,21655000,1087,878,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,161.83112
6:00:56,21656000,1192,1051,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,189.43541
6:00:57,21657000,1297,1046,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,201.97513
6:00:58,21658000,1389,929,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,200.59344
6:00:59,21659000,1456,665,Route10G_trip152322020_06:00:00,5,Euro4,Gasoline,Gillig_104,Passenger,179.41466
