trip_id,vid,vehicle_type,vehicle_actual_name,fuel_type,gtfs_trip_id,gtfs_time_start,gtfs_time_end
204959,112,Gillig_103,Gillig HF 35' 2002,diesel,204959,23:55:00,24:40:00
206345,152,Gillig_101,Gillig LF 35' 2014,diesel,206345,23:30:00,24:40:00
205087,150,Gillig_101,Gillig LF 35' 2014,diesel,205087,23:55:00,24:40:00
206311,504,Gillig_105,Gillig 35' Hybrids 2014,hybrid,206311,04:21:00,05:30:00
206129,113,Gillig_103,Gillig HF 35' 2002,diesel,206129,04:41:00,05:25:00
205253,150,Gillig_101,Gillig LF 35' 2014,diesel,205253,04:51:00,05:30:00
204922,123,Gillig_103,Gillig HF 35' 2002,diesel,204922,04:51:00,05:30:00
206312,501,Gillig_106,Gillig 37' Hybrids 2009,hybrid,206312,04:51:00,06:00:00
205145,134,Gillig_103,Gillig HF 35' 2002,diesel,205145,04:46:00,05:40:00
205192,147,Gillig_101,Gillig LF 35' 2014,diesel,205192,05:05:00,05:40:00
204920,147,Gillig_101,Gillig LF 35' 2014,diesel,204920,05:40:00,05:55:00
205146,134,Gillig_103,Gillig HF 35' 2002,diesel,205146,05:40:00,06:30:00
206130,113,Gillig_103,Gillig HF 35' 2002,diesel,206130,05:25:00,06:05:00
205193,124,Gillig_103,Gillig HF 35' 2002,diesel,205193,05:55:00,06:30:00
205144,136,Gillig_102,Gillig HF 2006,diesel,205144,05:36:00,06:30:00
205084,129,Gillig_103,Gillig HF 35' 2002,diesel,205084,05:51:00,06:30:00
206779,111,Gillig_103,Gillig HF 35' 2002,diesel,206779,05:51:00,06:25:00
206310,120,Gillig_103,Gillig HF 35' 2002,diesel,206310,05:51:00,07:00:00
205752,140,Gillig_102,Gillig HF 2006,diesel,205752,05:46:00,06:30:00
206020,126,Gillig_103,Gillig HF 35' 2002,diesel,206020,05:56:00,06:20:00
206355,504,Gillig_105,Gillig 35' Hybrids 2014,hybrid,206355,05:30:00,06:30:00
205062,506,Gillig_105,Gillig 35' Hybrids 2014,hybrid,205062,06:01:00,06:45:00
206128,113,Gillig_103,Gillig HF 35' 2002,diesel,206128,06:05:00,06:40:00
204951,147,Gillig_101,Gillig LF 35' 2014,diesel,204951,06:10:00,06:45:00
205143,154,Gillig_101,Gillig LF 35' 2014,diesel,205143,06:21:00,07:15:00
205085,146,Gillig_107,Gillig LF 37' 2009,diesel,205085,06:16:00,06:55:00
205252,150,Gillig_101,Gillig LF 35' 2014,diesel,205252,06:10:00,06:40:00
204919,123,Gillig_103,Gillig HF 35' 2002,diesel,204919,06:04:23,06:09:23
206356,501,Gillig_106,Gillig 37' Hybrids 2009,hybrid,206356,06:00:00,07:00:00
206778,138,Gillig_102,Gillig HF 2006,diesel,206778,06:31:00,07:05:00
