trip_id,id,type,busStop,started,delay,vid,start_time,gtfs_start_time,gtfs_end_time,first_stop_id,last_stop_id,block_id,block_name,start_diff
204888020,119,Gillig_103,354,51135.0,0.00,119,20220111 08:46,31860,34200,354,95,1002,107,19275.0
204889020,154,Gillig_101,1351,81039.0,39.00,154,20220111 22:30,81000,82800,1351,95,2802,155,39.0
204890020,126,Gillig_103,1351,77402.0,5.00,126,20220111 21:32,77400,79200,1351,95,3002,156,2.0
204891020,154,Gillig_101,1351,73779.0,0.00,154,20220111 20:25,73800,75600,1351,95,2802,155,21.0
204892020,126,Gillig_103,1351,70180.0,0.00,126,20220111 19:25,70200,72000,1351,95,3002,156,20.0
204893020,154,Gillig_101,1351,67385.0,785.00,154,20220111 18:25,66600,68400,1351,95,2802,155,785.0
204894020,506,Gillig_105,1351,68348.0,2958.00,506,20220111 18:10,65400,67200,1351,95,5702,452,2948.0
204895020,126,Gillig_103,1351,63110.0,110.00,126,20220111 17:30,63000,64800,1351,95,3002,156,110.0
204896020,504,Gillig_105,1351,60588.0,6588.00,504,20220111 17:06,61800,63900,1351,95,1102,108,1212.0
204897020,146,Gillig_107,1351,60579.0,8079.00,146,20220111 16:45,60600,62700,1351,95,2602,153,21.0
204898020,154,Gillig_101,354,61293.0,3035.00,154,20220111 16:05,58260,60900,354,95,2802,155,3033.0
204899020,506,Gillig_105,1351,60532.0,5433.00,506,20220111 15:55,57600,59700,1351,95,5702,452,2932.0
204900020,147,Gillig_101,1351,56965.0,1165.00,147,20220111 15:30,55800,57900,1351,95,2702,154,1165.0
204901020,504,Gillig_105,1351,54771.0,8571.00,504,20220111 14:58,54000,56100,1351,95,1102,108,771.0
204902020,146,Gillig_107,1351,51946.0,10005.00,146,20220111 14:30,52500,54600,1351,95,2602,153,554.0
204903020,124,Gillig_103,1351,55063.0,4663.00,124,20220111 13:56,50400,52500,1351,95,302,1016,4663.0
204904020,123,Gillig_103,1351,70731.0,4736.00,123,20220111 13:38,49200,51300,1351,95,2502,152,21531.0
204905020,504,Gillig_105,1351,54771.0,8571.00,504,20220111 12:45,46200,48300,1351,95,1102,108,8571.0
204906020,146,Gillig_107,1351,51946.0,10005.00,146,20220111 12:20,44700,46800,1351,95,2602,153,7246.0
204907020,147,Gillig_101,1351,42954.0,55.00,147,20220111 11:55,42900,44700,1351,95,102,101,54.0
204908020,123,Gillig_103,354,30630.0,0.00,123,20220111 11:20,41160,43500,354,95,2502,152,10530.0
204909020,129,Gillig_103,1351,38747.0,47.00,129,20220111 10:44,38700,40500,1351,95,802,105,47.0
204910020,145,Gillig_107,1351,36881.0,0.00,145,20220111 10:10,36900,38700,1351,95,902,106,19.0
204911020,147,Gillig_101,1351,35462.0,62.00,147,20220111 09:48,35400,37200,1351,95,102,101,62.0
204912020,506,Gillig_105,1351,33936.0,36.00,506,20220111 09:20,33900,35700,1351,95,602,103,36.0
204913020,129,Gillig_103,1351,30972.0,73.00,129,20220111 08:33,30900,32700,1351,95,802,105,72.0
204914020,145,Gillig_107,354,28861.0,2.00,145,20220111 07:58,28860,31200,354,95,902,106,1.0
204915020,147,Gillig_101,1351,27882.0,0.00,147,20220111 07:45,27900,29700,1351,95,102,101,18.0
204916020,506,Gillig_105,1351,26443.0,43.00,506,20220111 07:15,26400,28200,1351,95,602,103,43.0
204917020,146,Gillig_107,1351,24888.0,0.00,146,20220111 06:50,24900,26700,1351,95,702,104,12.0
204918020,129,Gillig_103,1351,23465.0,65.00,129,20220111 06:25,23400,25200,1351,95,802,105,65.0
204919020,123,Gillig_103,1351,21951.0,352.00,123,20220111 06:20,21600,23400,1351,95,502,102,351.0
204920020,147,Gillig_101,1351,20386.0,0.00,147,20220111 05:35,20400,22200,1351,95,102,101,14.0
204921020,119,Gillig_103,1351,46475.0,6576.00,119,20220111 11:00,39900,41700,1351,95,1002,107,6575.0
