trip_id,vid,start_time,gtfs_start_time,gtfs_end_time,first_stop_id,last_stop_id,route_id,block_id,block_name
206311020,504,20220111 04:21,04:21:00,05:30:00,354,1876,4,4902,402
206129020,113,20220111 04:39,04:41:00,05:25:00,2092,1925,3,3602,301
205253020,150,20220111 04:45,04:51:00,05:30:00,354,1710,13,1202,1301
204922020,123,20220111 04:45,04:51:00,05:30:00,354,95,1,502,102
206312020,501,20220111 04:46,04:51:00,06:00:00,354,1876,4,5002,403
205145020,134,20220111 04:47,04:46:00,05:40:00,2092,221,10C,5202,405
205192020,147,20220111 04:51,05:05:00,05:40:00,217,1351,10G,102,101
204920020,147,20220111 05:35,05:40:00,06:10:00,1351,95,1,102,101
205146020,134,20220111 05:42,05:40:00,06:30:00,2235,1351,10C,5202,405
206130020,113,20220111 05:42,05:25:00,06:05:00,1925,1351,3,3602,301
205193020,124,20220111 05:43,05:55:00,06:30:00,217,1351,10G,3702,302
205144020,136,20220111 05:43,05:36:00,06:30:00,2092,221,10C,402,1018
205084020,129,20220111 05:45,05:51:00,06:30:00,1870,1351,10A,802,105
206779020,111,20220111 05:45,05:51:00,06:25:00,354,1710,9,7202,903
206310020,120,20220111 05:45,05:51:00,07:00:00,354,1876,4,4802,401
205752020,140,20220111 05:45,05:46:00,06:30:00,354,1423,16,7602,907
206020020,126,20220111 05:50,05:56:00,06:20:00,354,779,28,3402,2801
206355020,504,20220111 05:51,05:30:00,06:30:00,1883,1351,4,4902,402
205062020,506,20220111 05:55,06:01:00,06:45:00,354,217,10A,602,103
206128020,113,20220111 06:03,06:05:00,06:40:00,1351,1925,3,3602,301
204951020,147,20220111 06:06,06:10:00,06:45:00,95,145,1,102,101
205143020,154,20220111 06:15,06:21:00,07:15:00,2092,221,10C,202,1015
205085020,146,20220111 06:16,06:16:00,06:55:00,1870,1351,10A,702,104
205252020,150,20220111 06:20,06:10:00,06:40:00,1555,1710,13,1202,1301
204919020,123,20220111 06:20,06:00:00,06:30:00,1351,95,1,502,102
206356020,501,20220111 06:21,06:00:00,07:00:00,1883,1351,4,5002,403
206778020,138,20220111 06:25,06:31:00,07:05:00,354,1710,9,7102,902
204918020,129,20220111 06:25,06:30:00,07:00:00,1351,95,1,802,105
206309020,504,20220111 06:25,06:30:00,07:30:00,1351,1876,4,4902,402
204950020,123,20220111 06:27,06:30:00,07:05:00,95,145,1,502,102
206127020,124,20220111 06:30,06:35:00,07:10:00,1351,1925,3,3702,302
205927020,134,20220111 06:31,06:30:00,06:45:00,166,756,21,5202,405
205778020,140,20220111 06:32,06:30:00,07:20:00,2086,354,16,7602,907
206131020,113,20220111 06:42,06:40:00,07:20:00,1925,1351,3,3602,301
205265020,150,20220111 06:43,06:40:00,07:10:00,1710,1589,13,1202,1301
205172020,147,20220111 06:45,06:45:00,07:15:00,145,288,10G,102,101
205949020,134,20220111 06:48,06:45:00,07:03:00,756,1351,21,5202,405
206862020,703,20220111 06:49,06:45:00,07:00:00,1874,1565,DTS,3902,3302
204917020,146,20220111 06:50,06:55:00,07:25:00,1351,95,1,702,104
205147020,136,20220111 06:52,06:30:00,07:20:00,2235,1351,10C,402,1018
206063020,727,20220111 06:53,06:50:00,07:15:00,143,730,2A,3202,201
205190020,506,20220111 06:53,06:45:00,07:20:00,217,1351,10G,602,103
204949020,129,20220111 06:55,07:00:00,07:35:00,95,145,1,802,105
206354020,120,20220111 06:55,07:00:00,08:00:00,1883,1351,4,4802,401
206037020,126,20220111 06:57,06:20:00,06:40:00,779,12,28,3402,2801
205738020,111,20220111 06:57,06:55:00,07:25:00,145,1423,16,7202,903
206036020,126,20220111 06:58,07:00:00,07:20:00,779,12,28,3402,2801
206301020,501,20220111 07:00,07:00:00,08:00:00,1351,1876,4,5002,403
206939020,703,20220111 07:01,07:00:00,07:15:00,1566,1874,33,3902,3302
205928020,134,20220111 07:05,07:05:00,07:20:00,166,756,21,5202,405
205061020,123,20220111 07:05,07:05:00,07:35:00,145,217,10A,502,102
205148020,154,20220111 07:10,07:15:00,08:25:00,2235,2231,10C,202,1015
205251020,150,20220111 07:10,07:10:00,07:40:00,1555,1710,13,1202,1301
